time (s),pitch (Hz),clarity
0.15,48.71,0.91
0.23,48.82,0.95
0.27,47.41,0.95
0.49,47.96,0.92
0.59,111.39,0.93
0.60,110.04,0.91
0.61,110.94,0.94
0.62,110.44,0.98
0.63,109.64,0.97
0.64,108.77,0.95
0.65,108.47,0.93
0.66,108.79,0.96
0.67,108.82,0.98
0.68,108.93,0.97
0.69,108.04,0.97
0.70,107.96,0.99
0.71,107.83,0.98
0.73,107.88,0.98
0.74,107.79,0.98
0.75,107.52,0.98
0.76,107.49,0.95
0.77,107.82,0.97
0.78,107.28,0.97
0.79,106.88,0.96
0.80,106.41,0.96
0.81,106.17,0.92
0.82,106.45,0.97
0.83,106.20,0.97
0.84,106.02,0.98
0.85,106.40,0.99
0.86,106.82,0.98
0.87,106.80,0.99
0.89,106.41,0.99
0.90,106.16,0.96
0.91,106.31,0.99
0.92,105.94,0.95
0.93,105.75,0.92
0.94,106.27,0.93
0.95,106.17,0.98
0.96,106.66,0.96
0.97,106.93,0.97
0.98,106.56,0.96
0.99,107.59,0.97
1.00,107.85,0.95
1.01,108.00,0.96
1.02,107.69,0.94
1.03,107.49,0.95
1.05,107.87,0.97
1.06,107.71,0.96
1.07,107.90,0.96
1.08,108.04,0.95
1.09,107.57,0.98
1.10,107.99,0.97
1.11,107.92,0.97
1.12,110.07,0.91
1.13,110.63,0.96
1.15,110.23,0.92
1.16,110.47,0.97
1.17,111.30,0.97
1.18,111.65,0.98
1.19,111.00,0.96
1.21,110.66,0.99
1.22,110.67,0.99
1.23,110.27,0.98
1.24,109.08,0.97
1.25,109.33,0.95
1.26,109.33,0.96
1.27,108.35,0.97
1.28,108.64,0.98
1.29,108.91,0.98
1.30,108.98,0.97
1.31,108.77,0.98
1.32,108.57,0.98
1.33,108.27,0.97
1.34,108.19,0.98
1.35,108.07,0.97
1.37,107.90,0.97
1.38,108.00,0.96
1.39,107.15,0.95
1.41,53.35,0.93
1.42,107.36,0.95
1.43,107.61,0.95
1.44,107.05,0.95
1.45,107.53,0.97
1.46,106.55,0.91
1.47,105.86,0.92
1.48,107.65,0.91
1.49,107.70,0.96
1.50,107.45,0.97
1.51,107.37,0.96
1.53,108.03,0.96
1.54,107.72,0.98
1.55,107.84,0.98
1.56,107.54,0.98
1.57,106.95,0.93
1.58,106.88,0.96
1.59,107.40,0.96
1.60,107.86,0.97
1.61,108.21,0.96
1.62,108.12,0.96
1.63,107.70,0.97
1.64,107.45,0.99
1.65,107.32,0.99
1.66,107.58,0.98
1.67,107.65,0.97
1.69,107.39,0.97
1.70,106.76,0.97
1.71,106.65,0.98
1.72,106.59,0.98
1.73,106.54,0.98
1.74,106.38,0.97
1.75,106.59,0.97
1.76,106.15,0.95
1.77,106.28,0.97
1.78,106.28,0.98
1.79,106.33,0.99
1.80,106.07,0.99
1.81,106.11,0.99
1.82,106.44,0.97
1.83,106.74,0.98
1.85,106.93,0.98
1.86,107.80,0.96
1.87,108.46,0.93
1.88,49.48,0.91
1.90,58.20,0.94
1.96,129.17,0.90
1.98,133.08,0.91
1.99,134.54,0.96
2.01,135.50,0.98
2.02,136.14,0.97
2.03,137.98,0.97
2.04,139.21,0.95
2.05,141.46,0.95
2.06,142.89,0.93
2.07,143.98,0.93
2.08,145.74,0.90
2.09,146.95,0.91
2.10,148.29,0.91
2.11,147.88,0.94
2.12,148.69,0.96
2.13,148.77,0.98
2.14,148.76,0.98
2.15,148.81,0.98
2.17,149.08,0.98
2.18,148.71,0.98
2.19,148.02,0.98
2.20,147.32,0.97
2.21,146.60,0.93
2.22,145.95,0.97
2.23,146.42,0.99
2.24,146.04,0.99
2.25,146.01,0.99
2.26,145.82,0.99
2.27,146.25,0.99
2.28,145.99,0.99
2.29,146.58,0.99
2.30,147.05,0.99
2.31,147.70,0.99
2.33,148.49,0.96
2.34,149.84,0.94
2.35,148.30,0.97
2.36,147.00,0.95
2.37,145.83,0.96
2.38,147.00,0.97
2.39,146.82,0.98
2.40,146.25,0.99
2.41,145.66,0.99
2.42,144.93,0.99
2.43,143.98,0.98
2.44,143.76,0.97
2.45,143.43,0.98
2.46,143.88,0.98
2.47,144.00,0.98
2.49,143.94,0.97
2.50,143.92,0.96
2.51,144.48,0.97
2.52,143.64,0.97
2.53,142.26,0.95
2.54,141.35,0.98
2.55,140.57,0.98
2.56,140.23,0.99
2.57,140.91,0.99
2.58,140.91,0.99
2.59,140.67,0.99
2.60,140.46,0.99
2.61,139.42,0.97
2.62,138.80,0.98
2.63,138.42,0.95
2.65,138.97,0.96
2.66,139.52,0.98
2.67,140.05,0.99
2.68,141.24,0.95
2.69,142.76,0.93
2.70,142.69,0.96
2.71,142.22,0.97
2.72,141.77,0.98
2.73,141.76,0.98
2.74,141.60,0.99
2.75,141.51,0.99
2.76,142.11,0.98
2.77,143.15,0.98
2.78,144.14,0.95
2.81,145.41,0.95
2.82,145.09,0.97
2.83,144.87,0.98
2.84,145.10,0.95
2.85,145.25,0.91
2.86,146.17,0.96
2.87,145.85,0.98
2.88,146.02,0.98
2.89,145.88,0.98
2.90,145.45,0.99
2.91,145.26,0.99
2.92,145.29,0.98
2.93,145.44,0.99
2.94,145.82,0.99
2.95,146.16,0.99
2.97,146.07,0.98
2.98,146.23,0.98
2.99,146.06,0.99
3.00,146.13,0.99
3.01,146.18,0.99
3.02,145.49,0.99
3.03,145.96,0.98
3.04,145.99,0.99
3.05,145.36,0.98
3.06,144.46,0.97
3.07,144.34,0.97
3.08,144.27,0.97
3.09,143.73,0.97
3.10,144.00,0.97
3.11,144.06,0.97
3.13,143.73,0.98
3.14,143.63,0.98
3.15,143.53,0.97
3.16,143.47,0.96
3.17,143.56,0.97
3.18,142.84,0.98
3.19,143.13,0.99
3.20,143.60,0.97
3.21,144.12,0.97
3.22,144.07,0.98
3.23,144.69,0.98
3.24,144.94,0.98
3.25,145.63,0.97